 HYMN TITLE,Text,LSB#,TLH#,LW#,LBW#,ELH#,CW#,WOV#,HS'98#
Lord Keep Us Steadfast in Thy Word,John 8:31,655,261,334,230,589,203,,
Lord Lead the Way the Savior Went,Matt 25:40,,440,,,,,,
Lord of All Good,Rom 12:1,786,,,411,,483,,884
Lord of All Hopefulness,Ps 55:16-17,738,,,469,59,,,886
"Lord of All Nations, Grant Me Grace",Phil 1:9,844,,,419,,521,,
Lord of Glory Who hast Bought Us,Acts 20:35,851,442,402,424,459,486,,
"Lord of Glory, You have Bought Us",1 John 3:16-19,851,442,402,424,459,486,,
Lord of Light Your Name Outstanding,,,,,405,,,,
Lord of Lords the Sparkling Heavens,,,,,,,237,,
Lord of My Life Whose Tender Care,Ps 95:6,,24,,,,232,,
Lord of Our Growing Years,,,,,,,507,,
Lord of Our Life,Ps 79:9,659,258,301,366,439,,,
Lord of the Church We Humbly Pray,Is 6:7,,489,261,,502,,,
Lord of the Harvest Hear,Matt 9:38,,488,,,,,,
Lord of the Home,,,,,,,502,,
Lord of the Living Harvest,Luke 10:2,,492,260,,,559,,
Lord of the Worlds Above,Ps 84,,480,,,,,,
Lord Open Thou My Heart to Hear,"Ps 119:131-133, 140",908,5,197,,24,282,,
Lord Our God With Praise We Come Before You,,,,,244,,,,
Lord Receive this Company,,,,,255,,,,
Lord Save Your World in Bitter Need,,,,,420,,,,
Lord Speak to Us That We May Speak,,,,,403,,561,,
Lord Teach Us How to Pray Aright,,,,,438,382,412,,
Lord Tis Not that I did Choose You,John 15:16,573,37,,,222,380,,
Lord to Thee I Make Confession,Ps 139:7-10,608,326,233,,450,302,,
Lord to You Immortal Praise,"Hab 3:17, 18",,572,496,,,612,,
Lord We Come before Thee Now,Ps 27:8,,18,,,,,,
Lord We Confess Our Numerous Faults,"Titus 3:3, 7",,382,,,,398,,
Lord When We Bend before Thy Throne,Ps 32:1,,22,,,,,,
Lord When Your Glory I Shall See,,,,,,,219,,
Lord While for All Mankind We Pray,Rom 13:1-7,,578,502,,,,,
Lord While for Humankind We Pray,Rom 13:1-7,,578,502,,,,,
Lord Who at Cana's Wedding-Feast,John 2:1-11,859,620,252,,,,,
Lord Who the Night You Were Betrayed Did Pray,,,,,206,,,,
Lord With Glowing Heart I'd Praise Thee,,,,,243,,,,
Lord You I Love with All My Heart,Ps 18,708,429,413,325,406,434,,
Lord You Love the Cheerful Giver,,,,,,,489,,
"Lord, Bid Your Servant Go in Peace",Luke 2:29-32,937,,,,,,,911
"Lord, Dismiss Us with Your Blessing",Num 6:24-26,924,50,218,259,588,329,,
"Lord, Enthroned in Heavenly Splendor",Rev 1:5-6,534,,281,172,,352,,
"Lord, Have Mercy on Us",,,,,,,,,p.7
"Lord, Help Us Ever to Retain",Ps 119:9-12,865,288,477,,551,514,,
"Lord, Help Us Walk Your Servant Way",Mark 10:35-45,857,,,,,,,
"Lord, It Belongs Not to My Care",Phil 1:21-26,757,527,,,,,,
"Lord, Keep Us Steadfast in Your Word",Ps 119:5-10,655,261,334,230,589,203,,
"Lord, Open Now My Heart to Hear","Ps 119:131-133, 140",908,5,197,,24,282,,
"Lord, Support Us All Day Long",Ex 13:21,884,,,,,,,
"Lord, Take My Hand and Lead Me",John 10:27-28,722,,512,333,210,439,,
"Lord, Thee I Love with All My Heart",1 John 4:19,708,429,413,325,406,434,,
"Lord, This Day We've Come to Worship",Ps 86:12,911,,,,,,,
"Lord, 'Tis Not that I did Choose Thee",John 15:16,573,37,,,222,380,,
"Lord, to You I Make Confession","Ps 51:3-11, 17",608,326,233,,450,302,,
"Lord, When You Came as Welcome Guest",John 2:1-11,859,620,252,,,,,
"Lord, Whose Love through Humble Service",Matt 25:44-40,848,,,423,,,,882
Lost in the Night Do the People Yet Languish,,,,,394,,,,
Love Came Down at Christmas,John 1:1-5,,,46,,,,,
Love Consecrates the Humblest Act,,,,,122,,,,
"Love Divine, All Loves Excelling",Ps 85:7-8,700,351,286,315,407,365,,
Love in Christ is Strong and Living,Col 3:12-14,706,,376,,,490,,
Love is the Gracious Gift,,,,,,,505,,
Magnificat,Luke 1:46,,,,,,,,803
Make Songs of Joy to Christ Our Head,1 Cor 15:55-57,484,,132,150,,,,
Maker of the Earth and Heaven,,,,,266,,,,
Mark How the Lamb of God's Self-Offering,Matt 3:13-16,600,,,,,,,
Master of Eager Youth,,,,,,183,,,
May God Bestow on Us His Grace,Ps 67:1-2,823-824,500,288,335,591,574,,
May God Embrace Us with His Grace,Ps 67:1-2,823-824,500,288,335,591,574,,
May God the Father of Our Lord,1 Pet 5:10,,,254,,,597,,
May the Grace of Christ Our Savior,,,,,,,326,,
May the Mind of Christ My Savior,,,,,,,467,,
May We Thy Precepts Lord Fulfill,Matt 6:10,698,412,389,353,,458,,
May We Your Precepts Lord Fulfill,Matt 6:10,698,412,389,353,,458,,
Morning Breaks upon the Tomb,Luke 24:3,,203,,,,159,,
Most Ancient of All Mysteries,,,,,,419,,,
My Country Tis of Thee,,,,,566,,,,
"My Course is Run, Praise God, My Course is Run",2 Tim 4:7,,599,,,528,,,
My Faith Looks Trustingly,Eph 3:12,702,394,378,479,184,402,,
My Faith Looks Up to Thee,"John 1:29, 36",702,394,378,479,184,402,,
My God Accept My Heart This Day ,Ps 119:10,,336,,,512,,,
My God and Is Thy Table Spread,,,,,,323,,,
My God How Wonderful Thou Art,,,,,524,,,,
My God My Father Make Me Strong,Ps 143:8,,424,,,,468,,
My God My Father While I Stray,Matt 26:42,,418,,,,,,
My God Will Never Leave Me,Josh 24:16,713,393,409,468,465,418,,
My Heart is Longing to Praise My Savior,,,,,326,61,364,,
My Hope is Built on Nothing Less,Acts 4:11-12,575-576,370,368,293,197,382,,
My Hope is Built on Nothing Less,1 Tim 1:1,575-576,370,368,294,,,,
My Inmost Heart Now Raises,Ps 118:1,,548,,,79,,,
My Jesus as Thou Wilt,Mark 14:36,,420,,,,,,
"My Lord, What a Morning",Rev 8:12,968,,,,,,627,
My Maker Be Thou Nigh,Ps 119:8,,335,255,,513,598,,
My Maker Be With Me,Ps 119:8,,335,255,,513,598,,
My Maker Now be Nigh,Ps 119:8,,335,255,,513,598,,
My Savior Sinners Doth Receive,Luke 15:2,,386,,,,,,
My Shepherd Will Supply My Need,,,,,,,374,,
My Song is Love Unknown,Is 52:13—53:3,430,,91,94,303,110,661,
My Soul Be on Thy Guard,1 Thess 5:6,,449,,,,,,
My Soul Doth Magnify the Lord,Luke 1:46-55,934,275,211,180,47,274,,
My Soul Now Bless Thy Maker,Ps 103,820,34,453,519,456,257,,
My Soul Now Bless Your Maker,Ps 103,820,34,453,519,456,257,,
My Soul Now Magnifies the Lord,Luke 1:46-55,934,275,211,180,47,274,,
My Soul Rejoices,Luke 1:46-55,933,,,,,,,p.19
"My Soul, Now Praise Your Maker",Ps 103,820,34,453,519,456,257,,
My Soul's Best Friend What Joy and Blessing,Song Solomon 5:16,,362,,,,,,
My Spirit on Thy Care,Ps 31,,435,,,,,,
Nature with Open Volume Stands,,,,,119,199,,,
Near the Cross Was Mary Weeping,,,,,,294,,,
Nearer My God to Thee,Gen 28:10-19,,533,514,,,,,
New Songs of Celebration Render,Ps 98,792,,,,,,,897
No Saint on Earth Lives Life to Self Alone,Rom 8:38-39,747,,,,,,,
"No Temple Now, No Gift of Price",Heb 9:11-28,530,,,,,,,861
No Tramp of Soldiers' Marching Feet,Luke 19:36-40,444,,,,,,,826
Not All the Blood of Beasts,Heb 10:1-4,431,156,99,,305,128,,
Not Alone for Mighty Empire,,,,,143,,,,
Not for Tongues of Heaven's Angels,1 Cor 13,695,,,,,495,,
Not in Anger Mighty God,,,,,,454,423,,
Not Unto Us,Ps 115:1,558,,,,,392,,874
Not What These Hands have Done,Eph 2:8-9,567,389,,,433,,,
Now All the Vault of Heaven Resounds,Rev 5:13; 7:11-12,465,,131,143,,,,
Now All the Woods are Sleeping,,,,,276,,,,
Now Are the Days Fulfilled,Gal 4:4,,99,,,164,,,
Now Christ is Risen,,,,,,355,,,
Now Christ the Sinless Son of God,,,,,,248,,,
Now Greet the Swiftly Changing Year,Ps 65:11,896,,183,181,,,,837
Now Hail the Day So Rich in Cheer,Is 9:6,,78,,,131,,,
Now Hush Your Cries and Shed No Tear,,,,,,480,,,
Now I have Found the Firm Foundation,1 Cor 3:11,,385,360,,,386,,
Now I have Found the Ground Wherein,,,,,,499,,,
Now Is Eternal Life,Col 3:1-4,,,,,,,,834
Now Lay We Calmly in the Grave,,,,,,476,,,
Now Let All Loudly Sing Praise,"1 Chron 29:11, 12",,28,,,,258,,
Now Let Triumphant Faith Dispel,,,,,,260,,,
Now Let Us Come Before Him,Ps 91:1,,122,184,,,74,,
Now May He Who from the Dead,"Heb 13:20, 21",,51,,,19,,,
Now Praise We Christ the Holy One,"Phil 2:6, 7",,104,,,267,39,,
Now Rest Beneath Night's Shadow,Ps 4:8; 91:4,880,554,485,282,569,587,,
"Now Sing We, Now Rejoice",Luke 2:1-14,386,92,47,55,135,34,,
Now Thank We All Our God,Ps 107:21-22,895,36,443,533,63,610,,
Now Thank We All Our God,Ecclus 50:22-24,895,36,443,534,63,610,,
Now that the Day hath Reached Its Close,Ps 139:12,,561,,,,,,
Now that the Daylight Fills the Sky,Ps 143:8-12,870,,,268,,583,,901
Now the Day Is Over,Prov 3:24,,654,491,280,560,589,,
Now the Green Blades Rise from the Buried Grain,,,,,148,,,,
Now the Hour of Worship O'er,Ps 121:8,,45,,,,330,,
Now the Light has Gone Away,Ps 4:8,887,653,503,,570,593,,
Now the Shades of Night are Gone,Ps 121,,538,,,,,,
Now the Silence,Rev 19:7-9,910,,,205,,231,,848
Now We Join in Celebration,,,,,203,,,,
"Now, My Tongue, the Mystery Telling",1 Cor 11:23-26,630,,,,,,,852
O Bless the Lord My Soul,,,,,,369,,,
"O Bless the Lord, My Soul",Ps 103,814,27,457,,60,238,,
O Blessed Day When First was Poured,Gal 4:4-5,,115,,,157,,,
O Blessed Home Where Man and Wife,Ps 128,,624,,,189,,,
"O Blessed Light, O Trinity",1 John 1:5-7,890,564,487,275,574,591,,
O Blessed Spring,John 15:1-5,595,,,,,,695,
O Blessed Sun Whose Splendor,,,,,,531,,,
"O Blessed, Holy Trinity",Ps 59:16-17,876,541,479,,80,584,,
O Blest the House Whate'er Befall,Luke 2:41-52,862,625,467,512,190,506,,
O Bread of Life From Heaven,,,,,222,266,,,
"O Bride of Christ, Rejoice",Matt 21:1-16,335,57,20,,104,134,,
O Chief of Cities Bethlehem,"Matt 2:1-2, 10-11",,,76,81,,,,
O Christ Our King Creator Lord,,,,,101,,,,
O Christ Our Light O Radiance True,Luke 1:79,839,512,314,380,198,569,,
O Christ the Healer We Have Come,,,,,360,,,,
O Christ You Are the Light and Day,John 8:12,882,559,,273,571,,,
"O Christ, Our Hope, Our Heart's Desire","Col 1:5, 20, 23, 27",553,,151,300,397,,,
"O Christ, Our True and Only Light",Is 60:1-3,839,512,314,380,198,569,,
"O Christ, Thou Lamb of God",John 1:29,,147,,103,,,,
"O Christ, Who Art the Light and Day",John 8:12,882,559,,273,571,,,
"O Christ, Who Called the Twelve",Matt 10:1-42,856,,,,,,,
"O Christ, Who Shared Our Mortal Life",Healing scriptures,552,,,,,,,
"O Christ, You Walked the Road",Matt 4:1-11,424,,,,,,,
O Christians Haste,,,,,,,570,,
"O Come, All Ye Faithful",Luke 2:15,379,102,41,45,133,55,,
"O Come, O Come, Emmanuel",Is 7:10-14,357,62,31,34,110,23,,
O Darkest Woe,Matt 27:57-60,448,167,122,,332,137,,
O Day Full of Grace,Acts 2:1-4,503,,163,161,401,,,
O Day of Rest and Gladness,Heb 4:1,906,9,203,251,485,,,
"O Dearest Jesus, What Law Hast Thou Broken",Luke 23:20-24,439,143,119,123,292,117,,
O DearestLord Thy Sacred Head,,,,,,,118,,
O Enter Lord Thy Temple,Acts 2:17,,228,,,400,,,
O Faithful God Thanks Be to Thee,Ps 6:1,,321,,,522,,,
O Father May Thy Word Prevail,,,,,,215,,,
"O Father, All Creating",Matt 19:4-6,858,621,251,,,,,
O for a Faith that Will Not Shrink,Luke 17:5,,396,,,364,405,,
O Fount of Good for All Your Love,Ps 116:12,,,395,,,524,,
"O Gladsome Light, O Grace",John 1:9,888,101,486,,572,,,
O God Be with Us ,Ps 121:3,,556,,,,,,
O God Empower Us to Stem,,,,,422,,,,
O God From God O God From Light,Ps 43:3,810,132,83,536,170,85,,
O God I Love Thee Not That My Poor Love,,,,,491,,,,
O God of Earth and Altar,,,,,428,,,,
O God of Every Nation,,,,,416,,,,
"O God of God, O Light of Light",Rev 5:12-13,810,132,83,536,170,85,,
O God of Jacob by Whose Hand,Gen 28:20-22,,434,,477,,,,
O God of Light,Ps 119:105,836,,,237,,,,869
O God of Light's Great Mystery,,,,,201,,,,
"O God of Love, O King of Peace",Ps 46:9,751,,498,414,,519,,
O God of Mercy God of Light,"Luke 10:36, 37",852,439,397,425,170,499,,
"O God of Mercy, God of Might","Luke 10:36, 37",852,439,397,425,458,499,,
O God of Youth Whose Spirit in Our Hearts is Stirring,,,,,510,,,,
O God Our Help in Ages Past,Ps 90,733,123,180,320,160,441,,
O God Our Lord Thy Holy Word,"Rev 14:6, 7",,266,341,,549,204,,
O God Our Lord Your Holy Word,"Rev 14:6, 7",,266,341,,549,204,,
O God Send Heralds Who Will Never Falter,,,,,283,,,,
O God Thou Faithful God,1 Kings 3:5,696,395,371,504,470,459,,
O God Whose Will is Life and Good,Ps 146:8,,,396,,,,,
O God Your Hand the Heavens Made,,,,,,,481,,
"O God, Forsake Me Not",Ps 38:21-22,731,402,372,,,424,,
"O God, My Faithful God",1 John 5:14-15,696,395,371,504,470,459,,
"O God, O Lord of Heaven and Earth",John 1:1-7,834,443,319,396,,400,,
"O Gracious Lord, I Firmly Am Believing",Matt 22:1-14,635,,,,,,,
"O Gracious Lord, With Love Draw Near",Matt 28:19,599,,,,,,,
O Happy Day When We Shall Stand,,,,,351,590,,,
O Happy Home Where Thou art Loved Most Dearly,Gen 18:19,,626,,,,,,
O Holy Blessed Trinity,Ps 5:3,876,541,479,,80,584,,
O Holy Ghost Thou Gift Divine,,,,,,26,,,
"O Holy Spirit, Enter In",1 Cor 3:16,913,235,160,459,27,184,,
"O Holy Spirit, Grant Us Grace",Rom 5:1-5,693,293,336,,25,185,,
O How Blest Are Ye Whose Toils Are Ended ,Rev 14:13,679,589,268,,526,554,,
O How Great Is Thy Compassion,2 Cor 9:15,559,384,364,,460,,,
O How Holy is This Place,,,,,,28,,,
O How Shall I Receive Thee,,,,,,94,,,
O Jesus at Your Altar Now,,,,,,324,,,
O Jesus Blessed Lord My Praise,2 Cor 9:15,632,309,245,220,325,316,,
O Jesus Blessed Lord to Thee,2 Cor 9:15,632,309,245,220,325,316,,
O Jesus Blessed Lord to You,2 Cor 9:15,632,309,245,220,325,316,,
O Jesus Christ All Praise to Thee,,,,,,136,,,
O Jesus Christ May Grateful Hymns be Rising,,,,,427,,,,
O Jesus Christ Your Manger Is,Luke 2:7,372,81,,,161,40,,
"O Jesus Christ, Thy Manger Is",Luke 2:7,372,81,,,161,40,,814
"O Jesus Christ, true Lamb of God",John 1:29,,,,,,,,p.13
O Jesus I Have Promised,,,,,503,,,,
O Jesus Joy of Loving Hearts,,,,,356,,,,
O Jesus King of Glory,Matt 2:1-12,,130,79,,,94,,
O Jesus Lamb of God Thou Art,John 1:29,,328,,,271,27,,
O Jesus Lamb of God You Are,John 1:29,,328,,,271,27,,
O Jesus Lord of Heavenly Grace,,,,,,487,,,
"O Jesus So Sweet, O Jesus So Mild",Gal 4:4-5,546,,,,,366,,858
"O Jesus, King Most Wonderful",Luke 19:38,554,361,274,537,278,373,,
O Kingly Love that Faithfully,Matt 22:1-14,,,346,,,335,,
O Light of Gentile Nations,Luke 2:32,,138,,,151,78,,
O Light of God's Most Wondrous Love,,,,,,399,,,
O Light Whose Splendor,Rev 21:22-27,891,,,,,,728,p.18
"O Little Flock, Fear Not the Foe",Luke 12:32,666,263,300,361,375,,,
O Little Town of Bethlehem,Luke 2:1-15,361,647,60,41,137,65,,
O Little Town of Bethlehem,Micah 5:2,361,,59,,,66,,
O Living Bread from Heaven,1 Cor 11:23-26,642,316,244,197,326,314,,
O Lord How Shall I Meet Thee,Matt 21:1-9,334,58,19,23,,18 & 19,,
O Lord How Shall I Meet You,Matt 21:1-9,334,58,19,23,,18 & 19,,
O Lord I Sing with Lips and Heart,Ps 92:1,737,569,,,,,,
O Lord in Prayer You Spent the Night,Luke 6:12ff,,493,,,505,548,,
O Lord Look Down from Heaven Behold,Ps 12,,260,,,440,205,,
O Lord My God I Cry to Thee,Ps 116:9,,600,,,573,,,
O Lord Now Let Your Servant,Luke 2:29-32,,,,339,,,,p.14
O Lord of Heaven and Earth and Sea,Matt 10:8,834,443,319,,,487,,
"O Lord of Hosts, Whose Glory Fills",Is 60:13,,633,,,,,,
O Lord of Light Who Made the Stars,Ps 30:10-12,351,,17,323,,31,,
O Lord Our Father shall We be Confounded ,Ps 22:5,,269,,,213,,,
O Lord Our Father Thanks and Praise,Ps 107:1,,124,,,,72,,
O Lord Our Father Thanks to Thee,Ps 107:1,,124,,,,72,,
O Lord Our God Your Gracious Hand,,,,,,,511,,
O Lord Send Forth Your Spirit,,,,,392,,,,
O Lord We Praise Thee Bless Thee and Adore Thee,Ps 118:1,617,313,238,215,327,317,,
O Lord We Praise You Bless You and Adore You,Ps 118:1,617,313,238,215,327,317,,
O Lord We Welcome Thee,Is 9:6,,93,,,,,,
O Lord Who in Thy Love Divine,,,,,,505,,,
O Lord Whose Bounteous Hand Again,Ps 65:9,,567,,,,,,
O Lord You Have in Your Pure Grace,,,,,,,407,,
"O Lord, Hear My Prayer",Ps 31:12,780,,,,,,772,891
"O Lord, Throughout These Forty Days",Luke 4:1-13,418,,92,99,,,,
"O Lord, We Praise Thee",1 Cor 11:23-26,617,313,238,215,327,317,,
O Love Divine How Sweet Thou Art,,,,,,62,,,
O Love that Casts Out Fear,,,,,,,604,,
O Love that Will Not Let Me Go,,,,,324,,,,
O Love Who Madest Me to Wear,1 John 4:16,,397,,,,,,
"O Love, How Deep",Eph 3:17b-21,544,,275,88,281,371,,
O Master Let Me Walk With You,,,,,492,,,,
O Master of the Loving Heart,,,,,,,491,,
"O Morning Star, How Fair and Bright",Rev 22:16,395,343,73,76,,,,
O One With God the Father,,,,,77,,,,
O Paschal Feast What Joy is Thine,,,,,,342,,,
O People Rise and Labor,"Luke 3:4, 5",354,75,25,,,14,,
O Perfect Life of Love,John 19:30,452,170,,,,138,,
O Perfect Love,Ruth 1:17,,623,253,287,,600,,
O Perfect Love All Human Thought Transcending,Ruth 1:17,,623,253,287,,600,,
"O Rejoice, Ye Christians, Loudly",Luke 2:10-14,897,96,40,,163,45,,
"O Sacred Head, Now Wounded",Ps 22:6-8,449-450,172,113,117,335,105,,
"O Sacred, Head Now Wounded",Ps 22:6-8,449-450,172,113,116,334,105,,
O Savior of Our Fallen Race,"John 1:1-5, 14",403,,45,49,,,,
"O Savior, Precious Savior",1 Pet 1:8-9,527,352,282,514,,368,,
"O Savior, Rend the Heavens Wide",Is 64:1,355,,32,38,97,22,,
O Sing Jubilee to the Lord Every Land,Ps 100,,44,205,256,56,252,,
O Sing of Christ,"John 1:1, 4, 10-14",362,,,,,,,
O Sing to the Lord,Ps 98  ,808,,,,,252,795,900
O Sing with Exultation,"Ps 118:15, 16",,217,,,365,,,
O Sinner Come Thy Sin to Mourn,,,,,,272,,,
O Son of God We Wait for Thee,,,,,,536,,,
"O Son of God, in Galilee",Mark 7:32-37,841,,400,426,,,,
O Sons and Daughters of the King,Mark 16:5-7,470-471,208,130,139,366,165,,
O Spirit of Life O Spirit of God,,,,,,,186,,
O Spirit of the Living God,Acts 2:3,,504,,388,,,,
O Splendor of God's Glory Bright,2 Cor 4:6 ,874,550,481,271,81,586,,
O Splendor of the Father's Light,John 8:12,874,550,481,271,81,586,,
O That I Had a Thousand Voices ,Ps 148:1,811,,448,560,443,242,,
O That I Had a Thousand Voices ,Ps 148:1,,243,,,,194,,
O That the Lord Would Guide My Ways,"Ps 119:5, 33",707,416,392,480,441,462,,
O Thou from Whom All Goodness Flows,Neh 13:31,,515,,,,,,
O Thou Love Unbounded,John 16:27,,42,,,,,,
O Thou that Hear'st when Sinners Cry,Ps 51,,325,,,500,,,
O Thou Who Hast of Thy Pure Grace,,,,,442,,,,
O Thou Who Once in Galilee,Mark 7:32-37,841,,400,426,,,,
O Thou Whose Feet have Climbed Life's Hill,1 Cor 16:13,,486,,,,,,
O Trinity Most Blessed Light,Ps 16:9,890,564,487,275,574,591,,
O Trinity O Blessed Light,Ps 16:9,890,564,487,275,574,591,,
"O Trinity, O Trinity",2 Cor 4:6-7,,,,,,,,836
O Watch and Pray,,,,,,516,,,
O What Precious Balm and Healing,1 Pet 2:24,421,144,95,,293,121,,
O Wondrous Type! O Vision Fair,Luke 9:28-36,413,,87,80,223,96,,
O Word of God Incarnate,John 1:14,523,294,335,231,171,279,,
O Worship the King,Ps 104,804,17,458,548,,243,,
O Zion Haste Your Mission High Fulfilling,,,,,397,,,,
O'er Jerusalem Thou Weepest,Luke 19:41,,419,390,,,,,
O'er the Distant Mountains Breaking,Matt 24:42,,606,,,,220,,
O'er the Gloomy Hills of Darkness,Rev 14:6,,505,,,,,,
Of my Life the Life O Jesus,,,,,,336,,,
Of the Father's Love Begotten,1 Tim 3:16,384,98,36,42,181,35,,
Of the Glorious Body Telling,,,,,120,,,,
Of Zion's Honor Angels Sing,,,,,,216,,,
Oh Bless the Lord My Soul,Ps 108:1-7,814,27,457,,60,238,,
Oh Blessed Home Where Man and Wife,Ps 128,,,466,,,503,,
Oh Come All Ye Faithful,Luke 2:15,379,102,41,45,133,55,,
Oh Come My Soul,,,,,,,99,,
Oh Come Oh Come Emmanuel,Is 59:20,357,62,31,34,110,23,,
Oh Darkest Woe,Acts 3:15,448,167,122,,332,137,,
Oh Enter Lord Thy Temple,Acts 2:17,,228,,,400,,,
Oh for a Faith that Will Not Shrink,Luke 17:5,,396,,,364,405,,
Oh Gladsome Light of the Father Immortal,,,,,279,,,,
Oh Happy Day When We Shall Stand,,,,,351,590,,,
Oh How Blest Are Ye Whose Toils Are Ended ,Rev 14:13,679,589,268,,526,554,,
Oh How Blest Are You Whose Toils Are Ended,Rev 14:13,679,589,268,,526,554,,
Oh How Great Is Thy Compassion,2 Cor 9:15,559,384,364,,460,,,
Oh Love How Deep How Broad How High,Eph 3:17b-21,544,,275,88,281,371,,
Oh Perfect Life of Love,,,,,,,138,,
Oh Praise the Lord My Soul,,,,,538,,,,
Oh Rejoice All Christians Loudly,2 Cor 8:9,897,96,40,,163,45,,
Oh Rejoice Ye Christians Loudly,2 Cor 8:9,897,96,40,,163,45,,
Oh Sing My Soul Your Maker's Praise,,,,,319,,425,,
Oh Sing to the Lord,Ps 100,,44,205,256,56,252,,
Oh Sing with Exultation,"Ps 118:15, 16",,217,,,365,,,
Oh That I Had a Thousand Voices ,Ps 148:1,811,,448,560,443,242,,
Oh That I Had a Thousand Voices ,Ps 148:1,,243,,,,194,,
Oh Wondrous Type Oh Vision Fair,Matt 2:1-11,413,,87,80,223,96,,
Oh Worship the King,Ps 104,804,17,458,548,,243,,
"Oh, Blest the House",Joshua 24:15b,862,625,467,512,190,506,,
"Oh, for a Thousand Tongues to Sing",Ps 96:1-3,528,360,276,559,,340,,
"Oh, How Blest Are They",Rev 14:13,679,589,268,,526,554,,
"Oh, How Great Is Your Compassion",Titus 3:4-7,559,384,364,,460,,,
"Oh, That I Had a Thousand Voices",1 Chron 16:31-36,811,30,448,560,,194,,
"Oh, That the Lord Would Guide My Ways","Ps 119:5, 33,133, 176",707,416,392,480,441,462,,
"Oh, That You Would Rend the Heavens",Is 64:1-9,984,,,,,,,
"Oh, What Their Joy",Rev 7:10-17,675,,,337,,,,838
On Christmas Night All Christians Sing,"Luke 2:10-14, 20",377,,65,,,52,,
On Christ's Ascension I Now Build,John 14:3,492,216,150,,392,173,,
On Eagles' Wings,Ps 91:1-12,727,,,,,440,779,
On Galilee's High Mountain,Matt 28:16-20,835,,320,,195,557,,
On Jordan's Bank the Baptist's Cry,Matt 3:1-6,344,63,14,36,106,16,,
On Jordan's Bank the Herald's Cry,Matt 3:1-6,344,63,14,36,106,16,,
On Mary Virgin Undefiled,,,,,,268,,,
On My Heart Imprint Thine Image,Luke 23:38,422,179,100,102,593,319 &320,,
On My Heart Imprint Thine Image - Choir,Luke 23:38,,,,,598,,,
On My Heart Imprint Your Image,Rom 8:29,422,179,100,102,593,319 &320,,
On Our Way Rejoicing,,,,,260,,,,
On This Day Earth Shall Ring,Luke 2:1-20,,,,,,,,809
On What has Now Been Sown,Mark 4:26-29,921,46,217,261,594,322,,
Once Again My Heart Rejoices,Luke 2:11,360,77,39,46,115,37,,
Once He Came in Blessing,Luke 4:17-19,333,74,30,312,141,17,,
Once In Royal David's City,Luke 2:4-7,376,,58,,139,50,643,
Once in the Blest Baptismal Waters,Gal 3:26-27,598,598,,,,210,,
One There Is Above All Others,,,,,298,,,,
One Thing Needful,Luke 10:42,536,366,277,,182,290,,
One Thing's Needful Lord This Treasure,Luke 10:42,536,366,277,,182,290,,
"One Thy Light, the Temple Filling",Is 6:8,,641,,,,,,
"Only-Begotten, Word of God Eternal",1 Kings 8:27-30,916,,323,375,,,,
"Onward, Christian Soldiers",Matt 16:18,662,658,518,509,,537,,
Open Now Thy Gates of Beauty,Ps 100:4,901,1,198,250,29,255,,
Open Now Thy Gates of Beauty,Ps 100:4,901,,,,30,,,
Our Blessed Savior Seven Times Spoke,Heb 5:7,,177,108,,337,,,
Our Children Jesus Calls,Mark 10:14,,302,228,,,296,,
Our Father Thou in Heaven Above,Matt 6:9-13,766,458,431,,383,410,,
Our Father Throned in Heaven Above,,,,,,384,,,
Our Father Who Are in Heaven—I,Matt 6:9-13,957,,,,,,,
Our Father Who Are in Heaven—IIa,Matt 6:9-13,958,,,,,,,
Our Father Who Are in Heaven—IIb,Matt 6:9-13,959,,,,,,,
"Our Father, By Whose Name",Joshua 24:15,863,,465,357,187,501,,
"Our Father, Who From Heaven Above",Matt 6:9-13,766,458,430,,383,410,,
"Our Father, Who From Heaven Above",Matt 6:9-13,766,458,431,,383,410,,
Our Fathers' God in Years Long Gone,Ps 44,,,326,,,535,,
Our God Our Help in Ages Past,Ps 90,733,123,180,320,160,441,,
Our Heavenly Father Hear,Luke 2-4,,455,,,,,,
Our Lord and God O Bless This Day,Is 54:10,,337,,,514,599,,
Our Lord and God Oh Bless This Day,Is 54:10,,337,,,514,599,,
"Our Paschal Lamb, That Sets Us Free",1 Cor 5:7-8,473,,,,,,679,830
Our Table Now with Food is Spread,,,,,,601,,,
Out of the Deep I Call,Ps 130,,327,,,453,,,
Out of the Depths I Cry to You,Ps 130,607,329,230,295,452,305,,
Over Kedron Jesus Treadeth,,,,,,295,,,
Peace to Soothe Our Bitter Woes,,,,,338,595,,,
Pour Out Thy Spirit from on High,Ps 132:9,,490,,,,,,
Praise and Thanks and Adoration,Ps 106:1,692,401,387,470,596,470,,
Praise and Thanksgiving,Eph 5:19-20,789,,403,409,,,,
Praise Be to Christ,Col 1:15-20,538,,,,,,,
Praise Be to the Lord,,,,,,,276,,
Praise God from Whom All Blessings Flow,Ps 150,805,,,529,,,,
Praise God from Whom All Blessings Flow,Ps 150,805,644,461,564,592,334,,
Praise God from Whom All Blessings Flow,Ps 150,805,644,461,565,592,334,,
Praise God the Lord Ye Sons of Men,Luke 2:1-14,389,105,44,47,148,41,,
Praise God This Hour of Sorrow,,,,,,475,,,
Praise Oh Praise Our God and King,Ps 136,,570,,,,,,
Praise the Almighty,Ps 146,797,26,445,539,497,235,,
